frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
1,0.000000,-0.293117,0.022459,3.617131,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.500,390.500,,513.500,390.500,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.053659,3.667256,513.500,390.500,508.000,349.000,0.034877,0.034877,3.646080,3.611203,3.946035,3.611203,-0.021176,sequence_se3_optimizer
2,0.041667,-0.292164,0.059086,3.617688,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.167,384.082,,514.167,384.082,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.054241,3.663545,514.167,384.082,506.000,342.000,0.052342,0.052342,3.663545,3.611203,3.956500,3.611203,0.000000,sequence_se3_optimizer
3,0.083333,-0.291200,0.095770,3.618253,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.694,382.633,,514.694,382.633,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.050013,3.660486,514.694,382.633,506.000,341.000,0.072793,0.072793,3.685461,3.612683,3.934370,3.612683,0.024974,sequence_se3_optimizer
4,0.125000,-0.290218,0.132574,3.618830,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.095,385.087,,516.095,385.087,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.037309,3.669440,516.095,385.087,510.000,344.000,0.020017,0.020017,3.634141,3.614162,3.929380,3.614162,-0.035299,sequence_se3_optimizer
5,0.166667,-0.289211,0.169512,3.619427,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,,519.269,393.824,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.009671,3.685719,519.269,393.824,507.000,358.000,0.018247,0.018247,3.633837,3.615642,3.956986,3.615642,-0.051882,sequence_se3_optimizer
6,0.208333,-0.288148,0.206794,3.620067,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,,521.670,420.095,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.032352,3.706092,521.670,420.095,514.000,378.000,-0.053594,-0.053594,3.563394,3.617121,3.919034,3.617121,-0.142698,sequence_se3_optimizer
7,0.250000,-0.286979,0.270372,3.620801,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,,522.923,462.126,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.089653,3.749129,522.923,462.126,526.000,406.000,-0.042657,-0.042657,3.575671,3.618601,3.883434,3.618601,-0.173458,sequence_se3_optimizer
8,0.291667,-0.285676,0.334751,3.621675,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,,524.976,514.434,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.131219,3.786225,524.976,514.434,524.000,479.000,2.437364,0.000000,3.619685,3.620080,3.856163,3.620080,-0.166541,sequence_se3_optimizer
9,0.333333,-0.284243,0.399300,3.622746,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,,529.148,583.961,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.158073,3.815989,529.148,583.961,527.000,540.000,-0.107549,-0.107549,3.513399,3.621560,3.839668,3.621560,-0.302590,sequence_se3_optimizer
10,0.375000,-0.282818,0.463147,3.623978,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,,528.421,601.546,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.168980,3.840481,528.421,601.546,547.000,558.000,0.008248,0.008248,3.630613,3.623040,3.865913,3.623040,-0.209868,sequence_se3_optimizer
