case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,allow_anchor_update,allow_contact_residual,allow_pose_refine,report_only,is_effective
basketball,stage4,2,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,2,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,103,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,103,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,189,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,189,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,1,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,1,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,97,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
basketball,stage4,97,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
